band,fID,obsHistID
z,1309,187528
z,1214,187529
z,1116,187532
z,1094,187533
z,1011,187534
z,1546,187545
z,1427,187546
z,1331,187547
z,1214,187552
z,1309,187553
z,1094,187556
z,1011,187558
z,985,187559
z,885,187560
z,909,187561
z,816,187565
z,794,187566
z,1427,187589
z,1331,187591
z,1309,187592
z,1226,187593
z,885,187594
z,794,187595
z,1309,187602
z,1427,187603
y,794,187806
y,1445,188991
y,1427,188992
y,1546,188997
y,1427,188998
y,816,189239
y,720,189240
y,778,189282
y,872,189283
y,794,189284
y,720,189285
y,778,189298
y,794,189311
y,816,189312
y,885,189313
y,975,189314
y,1070,189315
y,1165,189316
y,1178,189317
y,1082,189318
y,985,189319
y,909,189320
y,826,189321
y,816,189322
y,885,189323
y,794,189324
y,720,189325
y,720,189371
y,816,189372
y,794,189373
y,885,189374
y,909,189375
y,985,189381
y,1082,189382
y,1094,189383
y,1214,189388
y,1188,189389
y,1214,189390
y,1427,189408
y,1419,189409
y,1427,189410
y,1445,189437
y,1427,189438
y,1116,190185
y,1214,190186
y,1331,190188
y,1427,190235
y,1445,190240
y,1226,190245
y,1331,190246
y,1427,190247
y,1427,190261
y,1419,190264
y,1309,190265
y,1214,190266
y,1116,190267
y,1094,190268
y,1188,190269
y,1297,190270
y,1401,190271
y,1516,190272
y,1488,190278
y,1386,190279
y,1277,190280
y,1178,190281
y,1082,190282
y,985,190283
y,1011,190284
y,1011,190286
y,985,190287
y,909,190288
y,885,190289
y,816,190290
y,794,190291
y,746,190306
y,839,190307
y,931,190308
y,1036,190309
y,1133,190310
y,1034,190311
y,933,190312
y,849,190313
y,748,190314
y,754,190320
y,839,190321
y,939,190322
y,1036,190323
y,1243,190325
y,1142,190326
y,1245,190327
y,1144,190328
y,1046,190329
y,1050,190330
y,1154,190331
y,1257,190332
y,1361,190333
y,1476,190334
y,1486,190335
y,1375,190336
y,1269,190337
y,1257,190338
y,1361,190339
y,1350,190340
y,1350,190349
y,1427,190486
y,1331,190487
y,1309,190488
y,1214,190489
y,1094,190490
y,985,190491
y,885,190492
y,794,190493
y,1011,190494
y,909,190495
y,816,190496
y,1011,190498
y,1116,190499
y,885,190500
y,794,190501
y,985,190502
y,1094,190503
y,1214,190504
y,1309,190505
y,1427,190506
y,794,190585
y,885,190587
y,816,190588
y,909,190592
y,985,190593
y,1011,190595
y,909,190598
y,816,190602
y,885,190603
y,794,190604
y,985,190605
y,909,190606
y,826,190607
y,816,190610
y,885,190611
y,794,190612
y,1011,190615
y,909,190618
y,985,190619
y,885,190621
y,816,190622
y,794,190624
y,1331,191126
y,1309,191127
y,1214,191128
y,1116,191129
y,1011,191133
y,1094,191134
y,1011,191135
y,909,191139
y,985,191140
y,885,191141
y,1116,191143
y,1214,191144
y,1309,191145
y,1331,191146
y,1094,191152
y,985,191153
y,1116,191157
y,1214,191158
y,1309,191159
y,1331,191160
y,1331,191167
y,1309,191168
y,1214,191169
y,1094,191178
y,1309,191179
y,1331,191180
y,1309,191216
y,1094,191217
z,1516,191250
z,1401,191251
z,1419,191252
z,1427,191253
z,1427,191280
z,1419,191281
z,1401,191282
z,1427,191299
z,1522,191339
z,1427,191340
z,1445,191341
z,1331,191375
z,1309,191376
z,1297,191377
z,1375,191378
z,1386,191379
z,1486,191380
z,1488,191381
z,1486,191417
z,1386,191425
z,1375,191426
z,1331,191448
z,1309,191449
z,1331,191500
i,736,192278
i,826,192279
i,913,192280
i,736,192308
i,1214,192347
i,1116,192348
i,1188,192350
i,1094,192351
i,1011,192352
i,909,192353
i,985,192354
i,1082,192355
i,1178,192356
i,885,192357
i,975,192358
i,794,192359
i,720,192360
z,794,192379
r,1427,192895
r,766,193007
r,778,193008
r,794,193009
r,816,193010
r,766,193035
r,778,193036
r,794,193037
r,816,193038
r,698,193044
r,816,193046
r,794,193047
r,909,193048
r,885,193049
r,872,193050
r,871,193051
r,849,193052
r,1142,193076
r,1133,193077
r,1144,193078
r,1154,193079
r,1165,193080
r,826,193081
r,698,193084
r,794,193085
r,816,193086
r,909,193087
r,885,193088
r,872,193089
r,871,193090
r,849,193091
r,837,193092
r,1133,193107
r,1144,193108
r,1154,193109
r,1165,193110
r,1178,193111
r,1188,193112
r,1214,193113
r,1350,193122
r,1361,193123
r,1375,193124
r,1386,193125
